ticket_id,subject,body,category,priority,sentiment,created_at,customer_tier,channel,text
TKT-1023,[Technical Issue] Issue with database - Ticket #1023,"Hi support team, I'm experiencing an issue with database. Database connection pool is exhausted, causing all requests to fail. Please help resolve this as soon as possible.

Account ID: ACC-43828
Environment: Production",Technical Issue,Low,Neutral,2024-04-04,Enterprise,Chat,"[Technical Issue] Issue with database - Ticket #1023 Hi support team, I'm experiencing an issue with database. Database connection pool is exhausted, causing all requests to fail. Please help resolve this as soon as possible.

Account ID: ACC-43828
Environment: Production"
TKT-1024,[General Inquiry] Issue with how to - Ticket #1024,"Hi there, Can you explain the difference between Standard and Enterprise plans? The issue is related to how to. Thanks for your help.
Environment: Staging",General Inquiry,Medium,Negative,2024-06-22,Free,Web Portal,"[General Inquiry] Issue with how to - Ticket #1024 Hi there, Can you explain the difference between Standard and Enterprise plans? The issue is related to how to. Thanks for your help.
Environment: Staging"
TKT-1025,[Service Outage] Issue with outage - Ticket #1025,"Dear Support, Load balancer is not distributing traffic properly, causing overload. This involves outage. Looking forward to a quick resolution.

Account ID: ACC-88069",Service Outage,Medium,Neutral,2024-09-03,Basic,Email,"[Service Outage] Issue with outage - Ticket #1025 Dear Support, Load balancer is not distributing traffic properly, causing overload. This involves outage. Looking forward to a quick resolution.

Account ID: ACC-88069"
TKT-1026,[General Inquiry] Issue with best practice - Ticket #1026,Incident: best practice - Is there a roadmap available for upcoming features? Impact: Multiple users affected.,General Inquiry,Low,Neutral,2024-05-21,Enterprise,Email,[General Inquiry] Issue with best practice - Ticket #1026 Incident: best practice - Is there a roadmap available for upcoming features? Impact: Multiple users affected.
TKT-1027,[Feature Request] Issue with enhancement - Ticket #1027,URGENT: enhancement problem detected. An automated workflow builder would save our team significant time. This is affecting our operations.,Feature Request,Low,Positive,2024-05-29,Basic,Email,[Feature Request] Issue with enhancement - Ticket #1027 URGENT: enhancement problem detected. An automated workflow builder would save our team significant time. This is affecting our operations.
TKT-1028,[Feature Request] Issue with add - Ticket #1028,"Incident: add - Please add support for multi-currency in the billing module. Impact: Multiple users affected.
Environment: Production",Feature Request,Low,Neutral,2024-09-18,Free,Web Portal,"[Feature Request] Issue with add - Ticket #1028 Incident: add - Please add support for multi-currency in the billing module. Impact: Multiple users affected.
Environment: Production"
TKT-1029,[Account & Access] Issue with locked out - Ticket #1029,"Dear Support, security breach. The SSO integration with Google Workspace is not redirecting properly. This involves locked out. Looking forward to a quick resolution.",Account & Access,High,Negative,2024-04-01,Pro,Email,"[Account & Access] Issue with locked out - Ticket #1029 Dear Support, security breach. The SSO integration with Google Workspace is not redirecting properly. This involves locked out. Looking forward to a quick resolution."
TKT-1030,[Billing & Payments] Issue with duplicate charge - Ticket #1030,"Hi there, payment failed. The payment gateway rejected our card despite sufficient funds. The issue is related to duplicate charge. Thanks for your help.",Billing & Payments,High,Very Negative,2024-08-24,Free,Phone,"[Billing & Payments] Issue with duplicate charge - Ticket #1030 Hi there, payment failed. The payment gateway rejected our card despite sufficient funds. The issue is related to duplicate charge. Thanks for your help."
TKT-1031,[General Inquiry] Issue with help - Ticket #1031,"Problem Report: help failure. What are the system requirements for running the desktop application? Please escalate if needed.

Account ID: ACC-94664",General Inquiry,Low,Neutral,2024-02-16,Free,Chat,"[General Inquiry] Issue with help - Ticket #1031 Problem Report: help failure. What are the system requirements for running the desktop application? Please escalate if needed.

Account ID: ACC-94664"
TKT-1032,[Feature Request] Issue with integration - Ticket #1032,"Hi there, A data retention policy configuration feature is needed for compliance. The issue is related to integration. Thanks for your help.

Account ID: ACC-72752",Feature Request,Low,Neutral,2024-09-06,Pro,Web Portal,"[Feature Request] Issue with integration - Ticket #1032 Hi there, A data retention policy configuration feature is needed for compliance. The issue is related to integration. Thanks for your help.

Account ID: ACC-72752"
TKT-1033,[Billing & Payments] Issue with failed payment - Ticket #1033,Ticket: failed payment - The trial period ended early and we were charged before confirmation. Priority: High due to business impact.,Billing & Payments,Low,Neutral,2024-01-16,Free,Web Portal,[Billing & Payments] Issue with failed payment - Ticket #1033 Ticket: failed payment - The trial period ended early and we were charged before confirmation. Priority: High due to business impact.
TKT-1034,[Technical Issue] Issue with database - Ticket #1034,"Ticket: database - Users are reporting that the page loads extremely slowly, taking over 30 seconds. Priority: High due to business impact.
Environment: Development",Technical Issue,Medium,Negative,2024-11-18,Pro,Web Portal,"[Technical Issue] Issue with database - Ticket #1034 Ticket: database - Users are reporting that the page loads extremely slowly, taking over 30 seconds. Priority: High due to business impact.
Environment: Development"
TKT-1035,[Account & Access] Issue with hack - Ticket #1035,URGENT: hack problem detected. My account was locked after three failed login attempts. This is affecting our operations.,Account & Access,Medium,Negative,2024-03-30,Basic,Email,[Account & Access] Issue with hack - Ticket #1035 URGENT: hack problem detected. My account was locked after three failed login attempts. This is affecting our operations.
TKT-1036,[Feature Request] Issue with template - Ticket #1036,"Incident: template - We'd like to see a mobile-responsive dashboard for on-the-go monitoring. Impact: Multiple users affected.

Account ID: ACC-54425",Feature Request,Low,Neutral,2024-08-14,Enterprise,Web Portal,"[Feature Request] Issue with template - Ticket #1036 Incident: template - We'd like to see a mobile-responsive dashboard for on-the-go monitoring. Impact: Multiple users affected.

Account ID: ACC-54425"
TKT-1037,[Billing & Payments] Issue with credit card - Ticket #1037,"Hi support team, I'm experiencing an issue with credit card. Our billing address needs to be updated but the system won't save changes. Please help resolve this as soon as possible.",Billing & Payments,Low,Neutral,2024-10-05,Pro,Email,"[Billing & Payments] Issue with credit card - Ticket #1037 Hi support team, I'm experiencing an issue with credit card. Our billing address needs to be updated but the system won't save changes. Please help resolve this as soon as possible."
TKT-1038,[Technical Issue] Issue with null pointer - Ticket #1038,"Hi support team, I'm experiencing an issue with null pointer. urgent. Mobile app crashes immediately upon opening on iOS devices. Please help resolve this as soon as possible.
Environment: Development",Technical Issue,High,Negative,2024-10-10,Enterprise,Phone,"[Technical Issue] Issue with null pointer - Ticket #1038 Hi support team, I'm experiencing an issue with null pointer. urgent. Mobile app crashes immediately upon opening on iOS devices. Please help resolve this as soon as possible.
Environment: Development"
TKT-1039,[Account & Access] Issue with SSO - Ticket #1039,"Incident: SSO - account hacked. I forgot my password and the reset email is not arriving. Impact: Multiple users affected.
Environment: Production",Account & Access,High,Negative,2024-06-29,Basic,Email,"[Account & Access] Issue with SSO - Ticket #1039 Incident: SSO - account hacked. I forgot my password and the reset email is not arriving. Impact: Multiple users affected.
Environment: Production"
TKT-1040,[Billing & Payments] Issue with billing - Ticket #1040,"Hi there, The discount code NEWYEAR50 was not applied to our recent purchase. The issue is related to billing. Thanks for your help.

Account ID: ACC-82267",Billing & Payments,Medium,Negative,2024-09-09,Pro,Web Portal,"[Billing & Payments] Issue with billing - Ticket #1040 Hi there, The discount code NEWYEAR50 was not applied to our recent purchase. The issue is related to billing. Thanks for your help.

Account ID: ACC-82267"
TKT-1041,[Billing & Payments] Issue with discount - Ticket #1041,"Help needed: discount not functioning correctly. wrong charge. The trial period ended early and we were charged before confirmation.

Account ID: ACC-23807
Environment: Staging",Billing & Payments,High,Very Negative,2024-11-22,Enterprise,Chat,"[Billing & Payments] Issue with discount - Ticket #1041 Help needed: discount not functioning correctly. wrong charge. The trial period ended early and we were charged before confirmation.

Account ID: ACC-23807
Environment: Staging"
TKT-1042,[Service Outage] Issue with emergency maintenance - Ticket #1042,"Hello, I need assistance with emergency maintenance. The payment processing service is returning errors for all transactions. Can someone look into this?",Service Outage,High,Negative,2024-08-29,Basic,Email,"[Service Outage] Issue with emergency maintenance - Ticket #1042 Hello, I need assistance with emergency maintenance. The payment processing service is returning errors for all transactions. Can someone look into this?"
TKT-1043,[Feature Request] Issue with need ability - Ticket #1043,"[need ability] An automated workflow builder would save our team significant time. Need immediate attention on this matter.
Environment: Development",Feature Request,Low,Neutral,2024-11-07,Basic,Web Portal,"[Feature Request] Issue with need ability - Ticket #1043 [need ability] An automated workflow builder would save our team significant time. Need immediate attention on this matter.
Environment: Development"
TKT-1044,[Billing & Payments] Issue with cancel subscription - Ticket #1044,"Hi there, We received an invoice for services we never signed up for. The issue is related to cancel subscription. Thanks for your help.

Account ID: ACC-40354
Environment: Staging",Billing & Payments,Low,Neutral,2024-10-31,Pro,Web Portal,"[Billing & Payments] Issue with cancel subscription - Ticket #1044 Hi there, We received an invoice for services we never signed up for. The issue is related to cancel subscription. Thanks for your help.

Account ID: ACC-40354
Environment: Staging"
TKT-1045,[General Inquiry] Issue with help - Ticket #1045,"Problem Report: help failure. Can you clarify the data privacy policy for EU customers? Please escalate if needed.

Account ID: ACC-31447",General Inquiry,High,Negative,2024-01-08,Free,Web Portal,"[General Inquiry] Issue with help - Ticket #1045 Problem Report: help failure. Can you clarify the data privacy policy for EU customers? Please escalate if needed.

Account ID: ACC-31447"
TKT-1046,[Billing & Payments] Issue with refund - Ticket #1046,URGENT: refund problem detected. We were overcharged by $500 on last month's invoice. This is affecting our operations.,Billing & Payments,Medium,Neutral,2024-07-30,Pro,Email,[Billing & Payments] Issue with refund - Ticket #1046 URGENT: refund problem detected. We were overcharged by $500 on last month's invoice. This is affecting our operations.
TKT-1047,[General Inquiry] Issue with guide - Ticket #1047,"Hello, I need assistance with guide. What is the recommended approach for handling large file uploads? Can someone look into this?
Environment: Staging",General Inquiry,Low,Positive,2024-08-29,Basic,Email,"[General Inquiry] Issue with guide - Ticket #1047 Hello, I need assistance with guide. What is the recommended approach for handling large file uploads? Can someone look into this?
Environment: Staging"
TKT-1048,[Technical Issue] Issue with error - Ticket #1048,"Problem Report: error failure. Users are reporting that the page loads extremely slowly, taking over 30 seconds. Please escalate if needed.",Technical Issue,Low,Neutral,2024-12-07,Pro,Web Portal,"[Technical Issue] Issue with error - Ticket #1048 Problem Report: error failure. Users are reporting that the page loads extremely slowly, taking over 30 seconds. Please escalate if needed."
TKT-1049,[Technical Issue] Issue with timeout - Ticket #1049,URGENT: timeout problem detected. The API endpoint /api/v2/users returns a timeout error intermittently. This is affecting our operations.,Technical Issue,High,Negative,2024-05-12,Enterprise,Web Portal,[Technical Issue] Issue with timeout - Ticket #1049 URGENT: timeout problem detected. The API endpoint /api/v2/users returns a timeout error intermittently. This is affecting our operations.
TKT-1050,[General Inquiry] Issue with tutorial - Ticket #1050,"Hi there, What are the system requirements for running the desktop application? The issue is related to tutorial. Thanks for your help.",General Inquiry,Low,Neutral,2024-02-20,Free,Email,"[General Inquiry] Issue with tutorial - Ticket #1050 Hi there, What are the system requirements for running the desktop application? The issue is related to tutorial. Thanks for your help."
TKT-1051,[Technical Issue] Issue with slow - Ticket #1051,"Hi support team, I'm experiencing an issue with slow. Users are reporting that the page loads extremely slowly, taking over 30 seconds. Please help resolve this as soon as possible.",Technical Issue,High,Very Negative,2024-11-01,Enterprise,Web Portal,"[Technical Issue] Issue with slow - Ticket #1051 Hi support team, I'm experiencing an issue with slow. Users are reporting that the page loads extremely slowly, taking over 30 seconds. Please help resolve this as soon as possible."
TKT-1052,[General Inquiry] Issue with setup - Ticket #1052,Help needed: setup not functioning correctly. Can you clarify the data privacy policy for EU customers?,General Inquiry,Low,Neutral,2024-07-10,Free,Email,[General Inquiry] Issue with setup - Ticket #1052 Help needed: setup not functioning correctly. Can you clarify the data privacy policy for EU customers?
TKT-1053,[Billing & Payments] Issue with downgrade - Ticket #1053,URGENT: downgrade problem detected. Our invoice shows incorrect pricing - we should be on the Enterprise plan rate. This is affecting our operations.,Billing & Payments,Low,Positive,2024-01-30,Pro,Chat,[Billing & Payments] Issue with downgrade - Ticket #1053 URGENT: downgrade problem detected. Our invoice shows incorrect pricing - we should be on the Enterprise plan rate. This is affecting our operations.
TKT-1054,[General Inquiry] Issue with clarify - Ticket #1054,"Ticket: clarify - How do I migrate data from the old system to the new platform? Priority: High due to business impact.

Account ID: ACC-65123",General Inquiry,Low,Positive,2024-02-22,Basic,Email,"[General Inquiry] Issue with clarify - Ticket #1054 Ticket: clarify - How do I migrate data from the old system to the new platform? Priority: High due to business impact.

Account ID: ACC-65123"
TKT-1055,[Account & Access] Issue with SSO - Ticket #1055,"Hello, I need assistance with SSO. Account shows 'suspended' status but subscription is active. Can someone look into this?",Account & Access,Medium,Negative,2024-12-25,Pro,Web Portal,"[Account & Access] Issue with SSO - Ticket #1055 Hello, I need assistance with SSO. Account shows 'suspended' status but subscription is active. Can someone look into this?"
TKT-1056,[Account & Access] Issue with hack - Ticket #1056,URGENT: hack problem detected. I need admin access to manage team permissions but currently have viewer role. This is affecting our operations.,Account & Access,Low,Neutral,2024-11-21,Free,Web Portal,[Account & Access] Issue with hack - Ticket #1056 URGENT: hack problem detected. I need admin access to manage team permissions but currently have viewer role. This is affecting our operations.
TKT-1057,[Billing & Payments] Issue with trial - Ticket #1057,URGENT: trial problem detected. The trial period ended early and we were charged before confirmation. This is affecting our operations.,Billing & Payments,Medium,Negative,2024-08-26,Basic,Email,[Billing & Payments] Issue with trial - Ticket #1057 URGENT: trial problem detected. The trial period ended early and we were charged before confirmation. This is affecting our operations.
TKT-1058,[General Inquiry] Issue with documentation - Ticket #1058,"Hi support team, I'm experiencing an issue with documentation. Could you provide documentation on how to set up webhooks? Please help resolve this as soon as possible.
Environment: Development",General Inquiry,Medium,Neutral,2024-08-01,Free,Chat,"[General Inquiry] Issue with documentation - Ticket #1058 Hi support team, I'm experiencing an issue with documentation. Could you provide documentation on how to set up webhooks? Please help resolve this as soon as possible.
Environment: Development"
TKT-1059,[Service Outage] Issue with outage - Ticket #1059,"[outage] Load balancer is not distributing traffic properly, causing overload. Need immediate attention on this matter.

Account ID: ACC-28030
Environment: Development",Service Outage,High,Negative,2024-09-30,Basic,Web Portal,"[Service Outage] Issue with outage - Ticket #1059 [outage] Load balancer is not distributing traffic properly, causing overload. Need immediate attention on this matter.

Account ID: ACC-28030
Environment: Development"
TKT-1060,[Technical Issue] Issue with failed - Ticket #1060,"Dear Support, Search functionality returns incorrect results after the recent update. This involves failed. Looking forward to a quick resolution.

Account ID: ACC-16229",Technical Issue,Medium,Neutral,2024-05-24,Basic,Web Portal,"[Technical Issue] Issue with failed - Ticket #1060 Dear Support, Search functionality returns incorrect results after the recent update. This involves failed. Looking forward to a quick resolution.

Account ID: ACC-16229"
TKT-1061,[Billing & Payments] Issue with duplicate charge - Ticket #1061,"Hello, I need assistance with duplicate charge. wrong charge. The automatic renewal failed and our service was suspended without warning. Can someone look into this?",Billing & Payments,High,Negative,2024-02-11,Free,Email,"[Billing & Payments] Issue with duplicate charge - Ticket #1061 Hello, I need assistance with duplicate charge. wrong charge. The automatic renewal failed and our service was suspended without warning. Can someone look into this?"
TKT-1062,[Billing & Payments] Issue with pricing - Ticket #1062,URGENT: pricing problem detected. We received an invoice for services we never signed up for. This is affecting our operations.,Billing & Payments,Medium,Neutral,2024-04-21,Free,Email,[Billing & Payments] Issue with pricing - Ticket #1062 URGENT: pricing problem detected. We received an invoice for services we never signed up for. This is affecting our operations.
TKT-1063,[Service Outage] Issue with system offline - Ticket #1063,"[system offline] SLA breach. Scheduled maintenance is running 3 hours over the announced window. Need immediate attention on this matter.
Environment: Staging",Service Outage,High,Negative,2024-08-07,Enterprise,Email,"[Service Outage] Issue with system offline - Ticket #1063 [system offline] SLA breach. Scheduled maintenance is running 3 hours over the announced window. Need immediate attention on this matter.
Environment: Staging"
TKT-1064,[Service Outage] Issue with backup - Ticket #1064,"Hi support team, I'm experiencing an issue with backup. complete outage. Authentication service is down, preventing all user logins. Please help resolve this as soon as possible.",Service Outage,High,Negative,2024-10-26,Free,Phone,"[Service Outage] Issue with backup - Ticket #1064 Hi support team, I'm experiencing an issue with backup. complete outage. Authentication service is down, preventing all user logins. Please help resolve this as soon as possible."
TKT-1065,[Feature Request] Issue with feature - Ticket #1065,"Hello, I need assistance with feature. A dark mode option would greatly improve user experience. Can someone look into this?",Feature Request,Medium,Neutral,2024-10-19,Basic,Phone,"[Feature Request] Issue with feature - Ticket #1065 Hello, I need assistance with feature. A dark mode option would greatly improve user experience. Can someone look into this?"
TKT-1066,[General Inquiry] Issue with how to - Ticket #1066,"Hello, I need assistance with how to. What are the best practices for organizing projects in the platform? Can someone look into this?",General Inquiry,Low,Positive,2024-01-13,Pro,Email,"[General Inquiry] Issue with how to - Ticket #1066 Hello, I need assistance with how to. What are the best practices for organizing projects in the platform? Can someone look into this?"
TKT-1067,[General Inquiry] Issue with setup - Ticket #1067,Help needed: setup not functioning correctly. Is there a roadmap available for upcoming features?,General Inquiry,Low,Neutral,2024-10-31,Enterprise,Chat,[General Inquiry] Issue with setup - Ticket #1067 Help needed: setup not functioning correctly. Is there a roadmap available for upcoming features?
TKT-1068,[Billing & Payments] Issue with renewal - Ticket #1068,"Hi there, We were overcharged by $500 on last month's invoice. The issue is related to renewal. Thanks for your help.
Environment: Staging",Billing & Payments,Medium,Neutral,2024-12-14,Free,Chat,"[Billing & Payments] Issue with renewal - Ticket #1068 Hi there, We were overcharged by $500 on last month's invoice. The issue is related to renewal. Thanks for your help.
Environment: Staging"
TKT-1069,[Service Outage] Issue with maintenance - Ticket #1069,"Hello, I need assistance with maintenance. Email service is not delivering messages since this morning. Can someone look into this?",Service Outage,Medium,Neutral,2024-08-24,Basic,Web Portal,"[Service Outage] Issue with maintenance - Ticket #1069 Hello, I need assistance with maintenance. Email service is not delivering messages since this morning. Can someone look into this?"
TKT-1070,[Service Outage] Issue with emergency maintenance - Ticket #1070,"Hello, I need assistance with emergency maintenance. The payment processing service is returning errors for all transactions. Can someone look into this?",Service Outage,High,Negative,2024-11-04,Enterprise,Web Portal,"[Service Outage] Issue with emergency maintenance - Ticket #1070 Hello, I need assistance with emergency maintenance. The payment processing service is returning errors for all transactions. Can someone look into this?"
TKT-1071,[Account & Access] Issue with 2FA - Ticket #1071,Problem Report: 2FA failure. I need admin access to manage team permissions but currently have viewer role. Please escalate if needed.,Account & Access,Medium,Negative,2024-06-05,Basic,Chat,[Account & Access] Issue with 2FA - Ticket #1071 Problem Report: 2FA failure. I need admin access to manage team permissions but currently have viewer role. Please escalate if needed.
TKT-1072,[Account & Access] Issue with 2FA - Ticket #1072,"Ticket: 2FA - Account shows 'suspended' status but subscription is active. Priority: High due to business impact.

Account ID: ACC-77779",Account & Access,High,Very Negative,2024-05-02,Pro,Email,"[Account & Access] Issue with 2FA - Ticket #1072 Ticket: 2FA - Account shows 'suspended' status but subscription is active. Priority: High due to business impact.

Account ID: ACC-77779"
TKT-1073,[General Inquiry] Issue with update - Ticket #1073,Ticket: update - How do I migrate data from the old system to the new platform? Priority: High due to business impact.,General Inquiry,Low,Neutral,2024-11-19,Pro,Chat,[General Inquiry] Issue with update - Ticket #1073 Ticket: update - How do I migrate data from the old system to the new platform? Priority: High due to business impact.
TKT-1074,[Account & Access] Issue with access - Ticket #1074,"Hello, I need assistance with access. The SSO integration with Google Workspace is not redirecting properly. Can someone look into this?
Environment: Staging",Account & Access,Medium,Negative,2024-02-07,Free,Web Portal,"[Account & Access] Issue with access - Ticket #1074 Hello, I need assistance with access. The SSO integration with Google Workspace is not redirecting properly. Can someone look into this?
Environment: Staging"
TKT-1075,[Billing & Payments] Issue with pricing - Ticket #1075,Incident: pricing - Our billing address needs to be updated but the system won't save changes. Impact: Multiple users affected.,Billing & Payments,Medium,Negative,2024-12-21,Enterprise,Chat,[Billing & Payments] Issue with pricing - Ticket #1075 Incident: pricing - Our billing address needs to be updated but the system won't save changes. Impact: Multiple users affected.
